date,real,nominal
1915-01-01,1548.35,56.540
1915-02-01,1521.80,55.020
1915-03-01,1699.47,60.830
1915-04-01,1985.36,71.780
1915-05-01,1780.30,65.010
1915-06-01,1918.59,70.060
1915-07-01,2068.39,75.530
1915-08-01,2223.66,81.200
1915-09-01,2480.53,90.580
1915-10-01,2585.33,95.340
1915-11-01,2596.95,96.710
1915-12-01,2662.47,99.150
1916-01-01,2408.98,90.580
1916-02-01,2420.94,91.030
1916-03-01,2456.39,93.250
1916-04-01,2339.24,89.650
1916-05-01,2372.94,91.800
1916-06-01,2294.14,89.580
1916-07-01,2285.69,89.250
1916-08-01,2340.84,92.250
1916-09-01,2584.74,103.730
1916-10-01,2560.54,104.610
1916-11-01,2548.68,105.970
1916-12-01,2265.18,95.000
1917-01-01,2255.97,95.430
1917-02-01,2110.37,91.560
1917-03-01,2229.30,96.720
1917-04-01,2046.58,93.230
1917-05-01,2104.28,97.380
1917-06-01,2029.30,95.380
1917-07-01,1982.63,91.750
1917-08-01,1774.42,83.400
1917-09-01,1735.63,83.460
1917-10-01,1526.36,74.500
1917-11-01,1488.45,72.650
1917-12-01,1501.66,74.380
1918-01-01,1576.53,79.800
1918-02-01,1576.93,80.390
1918-03-01,1509.56,76.410
1918-04-01,1509.74,77.510
1918-05-01,1489.38,78.080
1918-06-01,1553.83,82.580
1918-07-01,1487.89,81.230
1918-08-01,1480.98,82.460
1918-09-01,1491.81,84.680
1918-10-01,1478.21,85.510
1918-11-01,1373.30,80.930
1918-12-01,1377.92,82.200
1919-01-01,1351.27,80.610
1919-02-01,1447.96,84.810
1919-03-01,1498.46,88.850
1919-04-01,1538.28,92.880
1919-05-01,1726.61,105.500
1919-06-01,1750.83,106.980
1919-07-01,1703.42,107.160
1919-08-01,1636.82,104.750
1919-09-01,1731.36,111.420
1919-10-01,1817.22,118.920
1919-11-01,1550.72,103.720
1919-12-01,1569.20,107.230
1920-01-01,1493.43,104.210
1920-02-01,1293.30,91.180
1920-03-01,1443.45,102.810
1920-04-01,1274.48,93.540
1920-05-01,1232.73,91.810
1920-06-01,1201.12,90.760
1920-07-01,1154.93,86.850
1920-08-01,1173.93,86.160
1920-09-01,1147.12,82.950
1920-10-01,1182.53,85.080
1920-11-01,1062.20,76.040
1920-12-01,1025.79,71.950
1921-01-01,1108.22,76.130
1921-02-01,1127.10,74.980
1921-03-01,1145.04,75.760
1921-04-01,1200.63,78.570
1921-05-01,1147.57,73.440
1921-06-01,1075.69,68.450
1921-07-01,1068.35,68.370
1921-08-01,1048.66,67.110
1921-09-01,1123.42,71.080
1921-10-01,1157.08,73.210
1921-11-01,1228.76,77.300
1921-12-01,1291.83,80.800
1922-01-01,1330.56,81.300
1922-02-01,1398.64,85.460
1922-03-01,1474.85,89.050
1922-04-01,1522.54,91.930
1922-05-01,1590.45,96.030
1922-06-01,1539.11,92.930
1922-07-01,1597.83,97.050
1922-08-01,1679.20,100.780
1922-09-01,1618.21,97.120
1922-10-01,1591.77,96.110
1922-11-01,1558.32,94.650
1922-12-01,1606.65,98.170
1923-01-01,1604.09,97.430
1923-02-01,1710.61,103.900
1923-03-01,1692.01,102.770
1923-04-01,1610.09,98.380
1923-05-01,1596.18,97.530
1923-06-01,1438.27,88.400
1923-07-01,1397.60,86.910
1923-08-01,1511.72,93.460
1923-09-01,1414.65,87.970
1923-10-01,1415.42,88.530
1923-11-01,1476.33,92.340
1923-12-01,1527.17,95.520
1924-01-01,1609.35,100.660
1924-02-01,1570.95,97.690
1924-03-01,1492.63,92.280
1924-04-01,1474.55,90.630
1924-05-01,1462.67,89.900
1924-06-01,1567.94,96.370
1924-07-01,1652.11,102.140
1924-08-01,1694.36,104.140
1924-09-01,1668.61,103.160
1924-10-01,1673.39,104.060
1924-11-01,1786.60,111.100
1924-12-01,1926.71,120.510
1925-01-01,1974.36,123.490
1925-02-01,1965.74,122.240
1925-03-01,1866.60,116.750
1925-04-01,1929.88,120.010
1925-05-01,2077.64,129.950
1925-06-01,2070.61,131.010
1925-07-01,2090.92,133.810
1925-08-01,2206.08,141.180
1925-09-01,2241.71,143.460
1925-10-01,2432.19,155.650
1925-11-01,2321.50,151.080
1925-12-01,2334.49,151.080
1926-01-01,2431.37,157.350
1926-02-01,2390.12,154.680
1926-03-01,2182.61,140.460
1926-04-01,2220.61,143.710
1926-05-01,2228.76,143.430
1926-06-01,2391.40,153.040
1926-07-01,2531.64,160.180
1926-08-01,2583.26,162.510
1926-09-01,2500.19,158.190
1926-10-01,2369.19,150.760
1926-11-01,2446.25,156.550
1926-12-01,2456.41,157.200
1927-01-01,2472.06,156.410
1927-02-01,2574.52,161.960
1927-03-01,2559.36,160.080
1927-04-01,2632.26,164.640
1927-05-01,2749.37,172.960
1927-06-01,2612.30,166.230
1927-07-01,2900.22,181.400
1927-08-01,3052.01,189.790
1927-09-01,3159.07,197.590
1927-10-01,2888.78,181.730
1927-11-01,3168.98,198.210
1927-12-01,3208.79,200.700
1928-01-01,3175.06,198.590
1928-02-01,3150.57,194.780
1928-03-01,3468.73,214.450
1928-04-01,3423.12,211.630
1928-05-01,3534.76,219.810
1928-06-01,3402.73,210.370
1928-07-01,3493.80,216.000
1928-08-01,3888.63,240.410
1928-09-01,3795.23,237.380
1928-10-01,4054.98,252.160
1928-11-01,4717.84,293.380
1928-12-01,4852.50,300.000
1929-01-01,5135.72,317.510
1929-02-01,5134.11,317.410
1929-03-01,5024.99,308.850
1929-04-01,5225.50,319.290
