"Years","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Gross domestic product ($)","104600000000","92200000000","77400000000","59500000000","57200000000","66800000000","74200000000","84800000000","93000000000","87400000000","93400000000","102900000000","129300000000","166000000000","203100000000","224400000000","228000000000","227500000000","249600000000","274500000000","272500000000","299800000000","346900000000","367300000000","389200000000","390500000000","425500000000","449400000000","474000000000","481200000000","521700000000","542400000000","562200000000","603900000000","637500000000","684500000000","742300000000","813400000000","860000000000","940700000000","1017600000000","1073300000000","1164900000000","1279100000000","1425400000000","1545200000000","1684900000000","1873400000000","2081800000000","2351600000000","2627300000000","2857300000000","3207000000000","3343800000000","3634000000000","4037600000000","4339000000000","4579600000000","4855200000000","5236400000000","5641600000000","5963100000000","6158100000000","6520300000000","6858600000000","7287200000000","7639700000000","8073100000000","8577600000000","9062800000000","9630700000000","10252300000000","10581800000000","10936400000000","11458200000000","12213700000000","13036600000000","13814600000000","14451900000000","14712800000000","14448900000000","14992100000000","15542600000000","16197000000000","16784900000000","17527300000000","18238300000000","18745100000000","19543000000000","20611900000000","21433200000000","20932800000000"
"    By type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Private industries ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7432000000000","7871500000000","8378300000000","8929300000000","9188900000000","9462000000000","9905900000000","10582500000000","11326400000000","12022600000000","12564800000000","12731200000000","12403900000000","12884100000000","13405500000000","14037500000000","14572300000000","15255900000000","15898900000000","16360200000000","17094200000000","18062200000000","18793800000000",
"            By industry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Agriculture, forestry, fishing, and hunting ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108600000000","99800000000","92600000000","98300000000","99800000000","95600000000","114000000000","142900000000","128300000000","125100000000","144100000000","147200000000","130000000000","146300000000","180900000000","179600000000","215600000000","201000000000","182300000000","166600000000","176600000000","178600000000","175400000000",
"                    Type of agriculture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Farms ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88100000000","79000000000","70900000000","76000000000","78100000000","74000000000","91100000000","119400000000","104500000000","96300000000","115700000000","119500000000","103100000000","117600000000","152200000000","148900000000","184600000000","168100000000","147400000000","130600000000","140100000000","140300000000","136100000000",
"                        Forestry, fishing, and related activities ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20500000000","20700000000","21700000000","22300000000","21700000000","21600000000","22800000000","23600000000","23900000000","28900000000","28400000000","27800000000","26900000000","28700000000","28700000000","30600000000","31000000000","32900000000","34900000000","35900000000","36600000000","38300000000","39300000000",
"                Mining ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95100000000","81700000000","84500000000","110600000000","123900000000","112400000000","139000000000","166500000000","225700000000","273300000000","314000000000","392200000000","275800000000","305800000000","356300000000","358800000000","386500000000","416400000000","261800000000","218000000000","274000000000","330800000000","309500000000",
"                    Type of mining",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Oil and gas extraction ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55100000000","39100000000","44100000000","68200000000","76100000000","69900000000","92900000000","113000000000","156000000000","178900000000","205900000000","271500000000","172900000000","188800000000","218100000000","223800000000","255100000000","278300000000","158200000000","138600000000","174600000000","214800000000","193100000000",
"                        Mining, except oil and gas ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26500000000","29000000000","29300000000","28500000000","28100000000","27300000000","29200000000","33600000000","42900000000","51800000000","58000000000","61300000000","61600000000","69500000000","76400000000","66600000000","62100000000","58800000000","50000000000","47300000000","56300000000","59500000000","60800000000",
"                        Support activities for mining ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13500000000","13600000000","11100000000","13800000000","19700000000","15200000000","16900000000","19900000000","26800000000","42600000000","50100000000","59400000000","41400000000","47500000000","61900000000","68400000000","69300000000","79400000000","53600000000","32100000000","43000000000","56600000000","55500000000",
"                Utilities ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"171500000000","163700000000","179900000000","180100000000","181300000000","177600000000","184000000000","199200000000","198100000000","226800000000","231900000000","241700000000","258200000000","278800000000","287500000000","279700000000","286300000000","298100000000","299200000000","301700000000","310100000000","321800000000","335300000000",
"                Construction ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"339600000000","379800000000","417600000000","461300000000","486500000000","493600000000","525200000000","584600000000","651800000000","697100000000","715300000000","648900000000","565600000000","525100000000","524400000000","553400000000","587600000000","636900000000","694900000000","746900000000","797800000000","848200000000","892700000000",
"                Manufacturing ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1382900000000","1430600000000","1488900000000","1550200000000","1473900000000","1468500000000","1524200000000","1608100000000","1693400000000","1793800000000","1844700000000","1800800000000","1702100000000","1797000000000","1867600000000","1927100000000","1991900000000","2050200000000","2129600000000","2099700000000","2182400000000","2314400000000","2345800000000",
"                    Type of manufacturing goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Durable goods ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"823800000000","850700000000","874900000000","924800000000","833400000000","832800000000","863200000000","905100000000","956800000000","1004400000000","1030600000000","999700000000","881000000000","964300000000","1015200000000","1061700000000","1102000000000","1134100000000","1183800000000","1186400000000","1227200000000","1287600000000","1320800000000",
"                            Type of durable goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Wood products ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26800000000","27500000000","29400000000","28300000000","27200000000","27300000000","28700000000","32600000000","34700000000","31700000000","29100000000","25600000000","21200000000","23300000000","23600000000","25800000000","30500000000","30900000000","32500000000","35300000000","37500000000","40400000000","41200000000",
"                                Nonmetallic mineral products ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39800000000","40800000000","43200000000","42600000000","41300000000","41800000000","42000000000","45300000000","48800000000","50500000000","50200000000","44700000000","38900000000","38400000000","38800000000","42600000000","47100000000","49500000000","54700000000","57400000000","61000000000","62700000000","65000000000",
