date,real,nominal
1927-12-01,282.35,17.660
1928-01-01,280.91,17.570
1928-02-01,279.18,17.260
1928-03-01,311.85,19.280
1928-04-01,319.46,19.750
1928-05-01,321.62,20.000
1928-06-01,309.59,19.140
1928-07-01,314.28,19.430
1928-08-01,337.57,20.870
1928-09-01,337.99,21.140
1928-10-01,348.64,21.680
1928-11-01,390.45,24.280
1928-12-01,393.86,24.350
1929-01-01,416.34,25.740
1929-02-01,413.92,25.590
1929-03-01,415.37,25.530
1929-04-01,424.53,25.940
1929-05-01,403.98,24.830
1929-06-01,443.36,27.410
1929-07-01,461.73,28.880
1929-08-01,506.98,31.710
1929-09-01,482.20,30.160
1929-10-01,386.11,24.150
1929-11-01,334.47,20.920
1929-12-01,344.94,21.450
1930-01-01,368.63,22.790
1930-02-01,378.77,23.280
1930-03-01,395.24,24.150
1930-04-01,405.12,24.900
1930-05-01,400.80,24.490
1930-06-01,336.85,20.460
1930-07-01,353.40,21.210
1930-08-01,358.23,21.370
1930-09-01,309.75,18.590
1930-10-01,283.97,16.940
1930-11-01,279.45,16.570
1930-12-01,263.53,15.340
1931-01-01,279.90,16.090
1931-02-01,315.87,17.930
1931-03-01,295.91,16.690
1931-04-01,269.27,15.090
1931-05-01,235.38,13.020
1931-06-01,271.64,14.830
1931-07-01,251.49,13.730
1931-08-01,253.87,13.860
1931-09-01,179.04,9.710
1931-10-01,195.47,10.530
1931-11-01,178.75,9.500
1931-12-01,153.83,8.120
1932-01-01,152.61,7.890
1932-02-01,162.62,8.290
1932-03-01,144.42,7.310
1932-04-01,116.01,5.830
1932-05-01,90.24,4.470
1932-06-01,90.09,4.430
1932-07-01,124.06,6.100
1932-08-01,171.89,8.390
1932-09-01,166.78,8.080
1932-10-01,144.74,6.960
1932-11-01,137.25,6.550
1932-12-01,145.48,6.890
1933-01-01,148.80,6.940
1933-02-01,123.27,5.660
1933-03-01,128.42,5.850
1933-04-01,182.64,8.320
1933-05-01,211.62,9.640
1933-06-01,237.61,10.910
1933-07-01,210.08,9.950
1933-08-01,232.38,11.090
1933-09-01,205.98,9.830
1933-10-01,187.75,8.960
1933-11-01,207.03,9.880
1933-12-01,211.64,10.100
1934-01-01,234.06,11.170
1934-02-01,223.76,10.760
1934-03-01,223.56,10.750
1934-04-01,217.53,10.460
1934-05-01,199.85,9.610
1934-06-01,202.49,9.810
1934-07-01,179.16,8.680
1934-08-01,188.87,9.150
1934-09-01,185.07,9.100
1934-10-01,180.50,8.810
1934-11-01,195.46,9.540
1934-12-01,196.09,9.500
1935-01-01,185.07,9.100
1935-02-01,176.45,8.740
1935-03-01,171.00,8.470
1935-04-01,186.00,9.280
1935-05-01,192.01,9.580
1935-06-01,206.53,10.230
1935-07-01,223.69,11.080
1935-08-01,228.54,11.320
1935-09-01,233.99,11.590
1935-10-01,251.55,12.460
1935-11-01,259.56,12.950
1935-12-01,269.18,13.430
1936-01-01,286.82,14.310
1936-02-01,291.63,14.550
1936-03-01,301.22,14.920
1936-04-01,278.00,13.770
1936-05-01,290.72,14.400
1936-06-01,297.44,14.840
1936-07-01,315.38,15.850
1936-08-01,315.90,15.990
1936-09-01,316.29,16.010
1936-10-01,340.00,17.210
1936-11-01,341.38,17.280
1936-12-01,339.41,17.180
1937-01-01,349.75,17.830
1937-02-01,354.85,18.090
1937-03-01,349.05,17.920
1937-04-01,317.79,16.430
1937-05-01,312.32,16.260
1937-06-01,295.80,15.400
1937-07-01,323.89,16.980
1937-08-01,305.96,16.040
1937-09-01,260.67,13.760
1937-10-01,234.15,12.360
1937-11-01,211.92,11.110
1937-12-01,202.64,10.550
1938-01-01,208.22,10.690
1938-02-01,222.45,11.340
1938-03-01,166.74,8.500
1938-04-01,188.94,9.700
1938-05-01,181.84,9.270
1938-06-01,226.76,11.560
1938-07-01,243.24,12.400
1938-08-01,236.57,12.060
1938-09-01,240.10,12.240
1938-10-01,260.19,13.170
1938-11-01,251.49,12.730
1938-12-01,260.98,13.210
1939-01-01,243.00,12.300
1939-02-01,252.70,12.700
1939-03-01,218.48,10.980
1939-04-01,218.87,10.920
1939-05-01,232.50,11.600
1939-06-01,217.67,10.860
1939-07-01,241.32,12.040
1939-08-01,224.08,11.180
1939-09-01,255.40,13.020
1939-10-01,253.47,12.830
1939-11-01,241.02,12.200
1939-12-01,246.75,12.490
1940-01-01,239.77,12.050
1940-02-01,239.64,12.130
1940-03-01,242.01,12.250
1940-04-01,240.83,12.190
1940-05-01,183.14,9.270
1940-06-01,195.77,9.980
1940-07-01,203.29,10.290
1940-08-01,208.62,10.560
1940-09-01,210.60,10.660
1940-10-01,218.90,11.080
1940-11-01,209.61,10.610
1940-12-01,207.54,10.580
1941-01-01,197.53,10.070
1941-02-01,194.59,9.920
1941-03-01,194.00,9.960
1941-04-01,180.07,9.310
1941-05-01,179.59,9.350
1941-06-01,185.34,9.850
1941-07-01,195.50,10.390
1941-08-01,191.20,10.300
1941-09-01,186.83,10.200
1941-10-01,171.74,9.500
1941-11-01,163.44,9.100
1941-12-01,155.06,8.690
1942-01-01,155.21,8.810
1942-02-01,150.38,8.590
1942-03-01,138.47,8.010
1942-04-01,131.59,7.660
1942-05-01,138.30,8.150
1942-06-01,140.84,8.300
1942-07-01,144.36,8.560
1942-08-01,144.50,8.620
1942-09-01,148.35,8.850
1942-10-01,156.01,9.420
1942-11-01,152.95,9.290
1942-12-01,159.90,9.770
1943-01-01,171.35,10.470
1943-02-01,180.03,11.000
1943-03-01,186.22,11.580
1943-04-01,184.23,11.590
1943-05-01,191.40,12.110
1943-06-01,195.19,12.350
1943-07-01,185.67,11.680
1943-08-01,188.66,11.800
1943-09-01,192.02,12.080
1943-10-01,189.48,11.920
1943-11-01,175.17,11.020
1943-12-01,185.51,11.670
1944-01-01,188.37,11.850
1944-02-01,187.89,11.820
1944-03-01,191.07,12.020
1944-04-01,187.61,11.870
1944-05-01,195.19,12.350
1944-06-01,203.98,12.980
1944-07-01,198.61,12.710
1944-08-01,200.33,12.820
1944-09-01,199.70,12.780
1944-10-01,199.70,12.780
1944-11-01,200.48,12.830
1944-12-01,206.36,13.280
1945-01-01,209.31,13.470
1945-02-01,222.21,14.300
1945-03-01,211.95,13.640
1945-04-01,230.60,14.840
1945-05-01,231.93,15.010
1945-06-01,228.60,14.960
1945-07-01,224.02,14.660
1945-08-01,237.01,15.510
1945-09-01,246.94,16.160
1945-10-01,254.43,16.650
1945-11-01,262.68,17.190
1945-12-01,263.82,17.360
1946-01-01,282.21,18.570
1946-02-01,264.06,17.280
1946-03-01,273.26,18.080
1946-04-01,282.00,18.760
1946-05-01,286.76,19.180
1946-06-01,272.60,18.430
1946-07-01,250.88,17.960
1946-08-01,227.99,16.650
1946-09-01,202.83,14.960
1946-10-01,197.34,14.840
1946-11-01,190.49,14.670
1946-12-01,196.83,15.300
1947-01-01,201.47,15.660
1947-02-01,198.51,15.430
1947-03-01,191.60,15.170
1947-04-01,184.15,14.580
1947-05-01,182.50,14.450
1947-06-01,191.22,15.210
1947-07-01,196.35,15.760
1947-08-01,188.33,15.320
1947-09-01,181.71,15.110
1947-10-01,185.56,15.430
1947-11-01,179.49,14.990
1947-12-01,180.85,15.300
1948-01-01,171.43,14.690
1948-02-01,164.78,14.000
1948-03-01,178.25,15.080
1948-04-01,179.89,15.480
1948-05-01,193.15,16.690
1948-06-01,192.12,16.740
1948-07-01,179.68,15.850
1948-08-01,180.29,15.970
1948-09-01,174.87,15.490
1948-10-01,187.50,16.540
1948-11-01,168.58,14.750
1948-12-01,174.45,15.200
1949-01-01,175.41,15.220
1949-02-01,169.90,14.620
1949-03-01,175.01,15.060
1949-04-01,170.59,14.740
1949-05-01,164.90,14.190
1949-06-01,163.87,14.160
1949-07-01,175.52,15.040
1949-08-01,176.87,15.220
1949-09-01,180.31,15.580
1949-10-01,187.19,16.040
1949-11-01,186.63,16.060
1949-12-01,196.43,16.760
1950-01-01,200.68,17.050
1950-02-01,202.68,17.220
1950-03-01,202.64,17.290
1950-04-01,211.78,18.070
1950-05-01,219.16,18.780
1950-06-01,205.58,17.690
1950-07-01,204.75,17.840
1950-08-01,209.66,18.420
1950-09-01,220.49,19.450
1950-10-01,219.58,19.530
1950-11-01,218.47,19.510
1950-12-01,225.82,20.410
1951-01-01,235.86,21.660
1951-02-01,234.61,21.800
1951-03-01,229.43,21.400
1951-04-01,240.47,22.430
1951-05-01,229.81,21.520
1951-06-01,223.83,20.960
1951-07-01,239.21,22.400
1951-08-01,248.61,23.280
1951-09-01,246.49,23.260
1951-10-01,242.18,22.940
1951-11-01,239.71,22.880
1951-12-01,248.09,23.770
1952-01-01,251.95,24.140
1952-02-01,244.63,23.260
1952-03-01,256.30,24.370
1952-04-01,244.32,23.320
1952-05-01,249.98,23.860
1952-06-01,260.51,24.960
1952-07-01,263.12,25.400
1952-08-01,259.29,25.030
1952-09-01,254.21,24.540
1952-10-01,254.00,24.520
1952-11-01,265.81,25.660
1952-12-01,275.24,26.570
1953-01-01,274.30,26.380
1953-02-01,270.32,25.900
1953-03-01,262.97,25.290
1953-04-01,256.00,24.620
1953-05-01,254.21,24.540
1953-06-01,249.12,24.140
1953-07-01,255.42,24.750
1953-08-01,239.78,23.320
1953-09-01,240.08,23.350
1953-10-01,251.39,24.540
1953-11-01,254.58,24.760
1953-12-01,255.10,24.810
1954-01-01,268.15,26.080
1954-02-01,268.87,26.150
1954-03-01,277.00,26.940
1954-04-01,291.64,28.260
1954-05-01,300.13,29.190
1954-06-01,300.34,29.210
1954-07-01,317.51,30.880
1954-08-01,306.71,29.830
1954-09-01,333.44,32.310
1954-10-01,326.94,31.680
1954-11-01,353.36,34.240
1954-12-01,372.72,35.980
1955-01-01,379.45,36.630
1955-02-01,380.80,36.760
1955-03-01,378.93,36.580
1955-04-01,393.23,37.960
1955-05-01,392.71,37.910
1955-06-01,425.03,41.030
1955-07-01,449.13,43.520
1955-08-01,445.62,43.180
1955-09-01,449.01,43.670
1955-10-01,435.34,42.340
1955-11-01,467.93,45.510
1955-12-01,469.35,45.480
1956-01-01,452.22,43.820
1956-02-01,467.91,45.340
1956-03-01,500.31,48.480
1956-04-01,497.44,48.380
1956-05-01,463.03,45.200
1956-06-01,477.64,46.970
1956-07-01,498.54,49.390
1956-08-01,481.32,47.510
1956-09-01,457.76,45.350
1956-10-01,458.44,45.580
1956-11-01,453.41,45.080
1956-12-01,467.68,46.670
1957-01-01,448.14,44.720
1957-02-01,431.95,43.260
1957-03-01,438.85,44.110
1957-04-01,453.47,45.740
1957-05-01,468.51,47.430
1957-06-01,466.26,47.370
1957-07-01,468.22,47.910
1957-08-01,441.94,45.220
1957-09-01,414.57,42.420
1957-10-01,401.28,41.060
1957-11-01,406.31,41.720
1957-12-01,389.46,39.990
1958-01-01,403.28,41.700
1958-02-01,394.96,40.840
1958-03-01,404.33,42.100
1958-04-01,415.76,43.440
1958-05-01,421.99,44.090
1958-06-01,432.99,45.240
1958-07-01,450.10,47.190
1958-08-01,457.02,47.750
1958-09-01,479.12,50.060
1958-10-01,491.28,51.330
1958-11-01,500.55,52.480
1958-12-01,528.41,55.210
1959-01-01,528.88,55.450
1959-02-01,530.33,55.410
1959-03-01,530.62,55.440
1959-04-01,549.29,57.590
1959-05-01,559.69,58.680
1959-06-01,555.76,58.470
1959-07-01,573.15,60.510
1959-08-01,564.53,59.600
1959-09-01,536.95,56.880
1959-10-01,541.15,57.520
1959-11-01,548.30,58.280
1959-12-01,563.45,59.890
1960-01-01,524.96,55.610
1960-02-01,527.98,56.120
1960-03-01,520.64,55.340
1960-04-01,509.77,54.370
1960-05-01,523.46,55.830
1960-06-01,531.86,56.920
1960-07-01,518.69,55.510
1960-08-01,532.23,56.960
1960-09-01,500.09,53.520
1960-10-01,495.57,53.390
1960-11-01,515.52,55.540
1960-12-01,539.38,58.110
1961-01-01,573.44,61.780
1961-02-01,588.85,63.440
1961-03-01,603.89,65.060
1961-04-01,606.21,65.310
1961-05-01,617.81,66.560
1961-06-01,599.99,64.640
1961-07-01,615.53,66.760
1961-08-01,629.65,68.070
1961-09-01,615.25,66.730
1961-10-01,632.68,68.620
1961-11-01,657.57,71.320
1961-12-01,659.69,71.550
1962-01-01,634.70,68.840
1962-02-01,642.86,69.960
1962-03-01,639.09,69.550
1962-04-01,597.53,65.240
1962-05-01,546.15,59.630
1962-06-01,501.46,54.750
1962-07-01,531.52,58.230
1962-08-01,539.65,59.120
1962-09-01,511.94,56.270
1962-10-01,514.22,56.520
1962-11-01,566.44,62.260
1962-12-01,574.08,63.100
1963-01-01,602.29,66.200
1963-02-01,584.91,64.290
1963-03-01,603.66,66.570
1963-04-01,632.95,69.800
1963-05-01,642.01,70.800
1963-06-01,627.04,69.370
1963-07-01,622.79,69.130
1963-08-01,653.15,72.500
1963-09-01,645.95,71.700
1963-10-01,664.61,74.010
1963-11-01,657.61,73.230
1963-12-01,671.50,75.020
1964-01-01,689.59,77.040
1964-02-01,696.39,77.800
1964-03-01,706.95,78.980
1964-04-01,711.25,79.460
1964-05-01,719.39,80.370
1964-06-01,728.84,81.690
1964-07-01,739.80,83.180
1964-08-01,730.09,81.830
1964-09-01,748.70,84.180
1964-10-01,754.74,84.860
1964-11-01,748.38,84.420
1964-12-01,751.31,84.750
1965-01-01,776.22,87.560
1965-02-01,775.07,87.430
1965-03-01,761.40,86.160
1965-04-01,784.97,89.110
1965-05-01,778.89,88.420
1965-06-01,736.30,84.120
1965-07-01,746.19,85.250
1965-08-01,763.00,87.170
1965-09-01,787.42,89.960
1965-10-01,806.36,92.420
1965-11-01,799.30,91.610
1965-12-01,803.96,92.430
1966-01-01,807.87,92.880
1966-02-01,788.41,91.220
1966-03-01,768.81,89.230
1966-04-01,779.75,91.060
1966-05-01,737.53,86.130
1966-06-01,723.43,84.740
1966-07-01,711.44,83.600
1966-08-01,652.11,77.100
1966-09-01,647.54,76.560
1966-10-01,674.24,80.200
1966-11-01,676.34,80.450
1966-12-01,675.33,80.330
1967-01-01,728.13,86.610
1967-02-01,729.56,86.780
1967-03-01,755.97,90.200
1967-04-01,785.55,94.010
1967-05-01,742.13,89.080
1967-06-01,752.86,90.640
1967-07-01,784.62,94.750
1967-08-01,773.09,93.640
1967-09-01,796.12,96.710
1967-10-01,765.71,93.300
1967-11-01,769.20,94.000
1967-12-01,787.10,96.470
1968-01-01,748.16,92.240
1968-02-01,722.65,89.360
1968-03-01,727.37,90.200
1968-04-01,783.58,97.460
1968-05-01,791.12,98.680
1968-06-01,793.75,99.580
1968-07-01,774.59,97.740
1968-08-01,781.29,98.860
1968-09-01,809.04,102.670
1968-10-01,810.22,103.410
1968-11-01,846.69,108.370
1968-12-01,809.17,103.860
1969-01-01,800.28,103.010
1969-02-01,758.15,98.130
1969-03-01,777.77,101.510
1969-04-01,790.12,103.690
1969-05-01,786.19,103.460
1969-06-01,738.39,97.710
1969-07-01,690.19,91.830
1969-08-01,713.94,95.510
1969-09-01,694.21,93.120
1969-10-01,720.14,97.120
1969-11-01,691.94,93.810
1969-12-01,675.44,92.060
1970-01-01,622.09,85.020
1970-02-01,651.47,89.500
1970-03-01,649.01,89.630
1970-04-01,585.64,81.520
1970-05-01,548.56,76.550
1970-06-01,518.42,72.720
1970-07-01,553.53,78.050
1970-08-01,578.14,81.520
1970-09-01,594.82,84.300
1970-10-01,584.42,83.250
1970-11-01,609.09,87.200
1970-12-01,640.35,92.150
1971-01-01,666.27,95.880
1971-02-01,670.67,96.750
1971-03-01,693.64,100.310
1971-04-01,716.94,103.950
1971-05-01,683.76,99.630
1971-06-01,672.44,98.700
1971-07-01,649.56,95.580
1971-08-01,671.32,99.030
1971-09-01,666.65,98.340
1971-10-01,637.28,94.230
1971-11-01,635.65,93.990
1971-12-01,687.07,102.090
1972-01-01,699.52,103.940
1972-02-01,713.70,106.570
1972-03-01,716.20,107.200
1972-04-01,717.62,107.670
1972-05-01,728.26,109.530
1972-06-01,710.66,107.140
1972-07-01,708.88,107.390
1972-08-01,731.53,111.090
